,0
Grand total (GR2011  Bachelor's or equiv subcohort (4-yr institution) CALCULATED GRADUATION RATE),51.64718732932816
American Indian or Alaska Native total (GR2011  Bachelor's or equiv subcohort (4-yr institution) CALCULATED GRADUATION RATE),42.96570945945946
Asian total (GR2011  Bachelor's or equiv subcohort (4-yr institution) CALCULATED GRADUATION RATE),54.17891061452514
Black or African American total (GR2011  Bachelor's or equiv subcohort (4-yr institution) CALCULATED GRADUATION RATE),41.3513149847095
Hispanic total (GR2011  Bachelor's or equiv subcohort (4-yr institution) CALCULATED GRADUATION RATE),46.91717171717172
Native Hawaiian or Other Pacific Islander total (GR2011  Bachelor's or equiv subcohort (4-yr institution) CALCULATED GRADUATION RATE),53.100966183574876
White total (GR2011  Bachelor's or equiv subcohort (4-yr institution) CALCULATED GRADUATION RATE),53.71656338028167
Race/ethnicity unknown total (GR2011  Bachelor's or equiv subcohort (4-yr institution) CALCULATED GRADUATION RATE),47.48474051123162
Two or more races total (GR2011  Bachelor's or equiv subcohort (4-yr institution) CALCULATED GRADUATION RATE),62.54552238805973
Nonresident alien total (GR2011  Bachelor's or equiv subcohort (4-yr institution) CALCULATED GRADUATION RATE),56.78790259230165
