,0
Published in-state tuition and fees 2016-17 (IC2016_AY),15427.06548974943
Total price for in-state students living on campus 2016-17 (DRVIC2016),34133.02139582272
Total price for out-of-state students living on campus 2016-17 (DRVIC2016),37552.23331635252
Total price for in-state students living off campus (not with family)  2016-17 (DRVIC2016),29168.692956926658
Total price for out-of-state students living off campus (not with family)  2016-17 (DRVIC2016),32188.743306169967
Total price for in-state students living off campus (with family)  2016-17 (DRVIC2016),20234.7800697269
Total price for out-of-state students living off campus (with family)  2016-17 (DRVIC2016),23252.333236490413
