,0
Published in-state tuition and fees 2015-16 (IC2015_AY),15013.126152073733
Total price for in-state students living on campus 2015-16 (DRVIC2015),33214.5465175394
Total price for out-of-state students living on campus 2015-16 (DRVIC2015),36517.03101169293
Total price for in-state students living off campus (not with family)  2015-16 (DRVIC2015),28546.355791962174
Total price for out-of-state students living off campus (not with family)  2015-16 (DRVIC2015),31536.33156028369
Total price for in-state students living off campus (with family)  2015-16 (DRVIC2015),19805.280153347096
Total price for out-of-state students living off campus (with family)  2015-16 (DRVIC2015),22791.892657033324
