,0
Published in-state tuition and fees 2017-18 (IC2017_AY),15833.140210886293
Total price for in-state students living on campus 2017-18 (DRVIC2017),34964.43709273183
Total price for out-of-state students living on campus 2017-18 (DRVIC2017),38446.103759398495
Total price for in-state students living off campus (not with family)  2017-18 (DRVIC2017),29892.675
Total price for out-of-state students living off campus (not with family)  2017-18 (DRVIC2017),32987.82558139535
Total price for in-state students living off campus (with family)  2017-18 (DRVIC2017),20710.60872093023
Total price for out-of-state students living off campus (with family)  2017-18 (DRVIC2017),23805.759302325583
