,0
Published in-state tuition and fees 2012-13 (IC2012_AY),13886.735267723601
Total price for in-state students living on campus 2012-13 (DRVIC2012),30674.10088865656
Total price for out-of-state students living on campus 2012-13 (DRVIC2012),33732.85311029796
Total price for in-state students living off campus (not with family)  2012-13 (DRVIC2012),26746.268582136167
Total price for out-of-state students living off campus (not with family)  2012-13 (DRVIC2012),29559.3388507183
Total price for in-state students living off campus (with family)  2012-13 (DRVIC2012),18627.770476487076
Total price for out-of-state students living off campus (with family)  2012-13 (DRVIC2012),21441.566490189973
