,0
Published in-state tuition and fees 2013-14 (IC2013_AY),14275.894010569584
Total price for in-state students living on campus 2013-14 (DRVIC2013),31521.222394220847
Total price for out-of-state students living on campus 2013-14 (DRVIC2013),34687.878740970074
Total price for in-state students living off campus (not with family)  2013-14 (DRVIC2013),27288.549500454134
Total price for out-of-state students living off campus (not with family)  2013-14 (DRVIC2013),30160.181350287618
Total price for in-state students living off campus (with family)  2013-14 (DRVIC2013),19039.905193236715
Total price for out-of-state students living off campus (with family)  2013-14 (DRVIC2013),21908.797101449276
