,0
Published in-state tuition and fees 2011-12 (IC2011_AY),13419.112791049289
Total price for in-state students living on campus 2011-12 (DRVIC2011),29668.228871391075
Total price for out-of-state students living on campus 2011-12 (DRVIC2011),32613.718635170604
Total price for in-state students living off campus (not with family)  2011-12 (DRVIC2011),25235.37512989262
Total price for out-of-state students living off campus (not with family)  2011-12 (DRVIC2011),27975.658122618635
Total price for in-state students living off campus (with family)  2011-12 (DRVIC2011),17244.98962296783
Total price for out-of-state students living off campus (with family)  2011-12 (DRVIC2011),19981.48114839156
