,0
Published in-state tuition and fees 2014-15 (IC2014_AY),14615.359429569267
Total price for in-state students living on campus 2014-15 (DRVIC2014),32409.618900873138
Total price for out-of-state students living on campus 2014-15 (DRVIC2014),35667.77247046739
Total price for in-state students living off campus (not with family)  2014-15 (DRVIC2014),27894.95443645084
Total price for out-of-state students living off campus (not with family)  2014-15 (DRVIC2014),30838.546462829738
Total price for in-state students living off campus (with family)  2014-15 (DRVIC2014),19460.801852958757
Total price for out-of-state students living off campus (with family)  2014-15 (DRVIC2014),22398.331141661685
