,0
Grand total (GR2014  Degree/certif-seeking students ( 2-yr institution) CALCULATED GRADUATION RATE),34.71391862955032
American Indian or Alaska Native total (GR2014  Degree/certif-seeking students ( 2-yr institution) CALCULATED GRADUATION RATE),24.629376257545236
Asian total (GR2014  Degree/certif-seeking students ( 2-yr institution) CALCULATED GRADUATION RATE),37.23706896551721
Black or African American total (GR2014  Degree/certif-seeking students ( 2-yr institution) CALCULATED GRADUATION RATE),24.582183472327483
Hispanic total (GR2014  Degree/certif-seeking students ( 2-yr institution) CALCULATED GRADUATION RATE),32.065632273079935
Native Hawaiian or Other Pacific Islander total (GR2014  Degree/certif-seeking students ( 2-yr institution) CALCULATED GRADUATION RATE),26.252347826086943
White total (GR2014  Degree/certif-seeking students ( 2-yr institution) CALCULATED GRADUATION RATE),37.62036101083033
Race/ethnicity unknown total (GR2014  Degree/certif-seeking students ( 2-yr institution) CALCULATED GRADUATION RATE),29.284205518553723
Two or more races total (GR2014  Degree/certif-seeking students ( 2-yr institution) CALCULATED GRADUATION RATE),27.575827482447313
Nonresident alien total (GR2014  Degree/certif-seeking students ( 2-yr institution) CALCULATED GRADUATION RATE),31.622614840989375
